sampleID,sampleLat,sampleLon,year,window_years,fc,t2m_mean,t2m_var,t2m_ac,tp_mean,tp_var,tp_ac,def_mean,def_var,def_ac,ssrd_mean,ssrd_var,ssrd_ac,TAC_EVI_bimonthly_24,Coef1,Coef2,Coef3,Coef4,Coef5,Coef6,Coef7,Coef8,diff,eTAC
1,-3.95000028,-73.4399997,2000,4,100,297.9804484,0.52765047,NaN,0.007729567,2.72721032033341e-06,NaN,-0.004177573,3.23722363263282e-06,NaN,16014856.33,4.31517E+12,NaN,NaN,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,NaN,NaN
1,-3.95000028,-73.4399997,2001,4,100,298.0622762,0.545425446,NaN,0.007466685,3.53612246820631e-06,NaN,-0.003904698,4.01162646843582e-06,NaN,16163969.79,3.80533E+12,NaN,NaN,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,NaN,NaN
1,-3.95000028,-73.4399997,2002,4,100,298.1857368,0.498645752,NaN,0.007291485,3.65705771002649e-06,NaN,-0.003732481,4.22887488832264e-06,NaN,16203141.03,3.62234E+12,NaN,NaN,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,NaN,NaN
1,-3.95000028,-73.4399997,2003,4,100,298.2323863,0.495514601,NaN,0.007210127,3.6251866050461e-06,NaN,-0.00365398,4.22544234876531e-06,NaN,16194875.42,3.50158E+12,NaN,NaN,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,NaN,NaN
1,-3.95000028,-73.4399997,2004,4,100,298.361084,0.560660682,0.427722264,0.006863207,3.40753774709601e-06,-0.078040163,-0.003294499,4.05671158891419e-06,-0.007956569,16301111.02,3.42285E+12,0.387603358,0.370702669,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0,0.370702669
1,-3.95000028,-73.4399997,2005,4,100,298.5168813,0.489408516,0.41934647,0.006722676,3.28175326980617e-06,-0.082865139,-0.003122975,4.11327718785045e-06,-0.022585556,16416838.96,3.46182E+12,0.341884045,0.343269071,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.002010629,0.341258442
1,-3.95000028,-73.4399997,2006,4,100,298.557958,0.478677138,0.413041517,0.006616052,3.17771632012588e-06,-0.031182933,-0.002975517,3.88642939092131e-06,0.024699007,16557105.33,3.2263E+12,0.354563669,0.343269071,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.003610345,0.339658727
1,-3.95000028,-73.4399997,2007,4,100,298.6074219,0.493434264,0.38673474,0.0065257,3.77339559927358e-06,-0.01128323,-0.002866749,4.41852190723458e-06,0.035533126,16697277.31,3.14427E+12,0.349543893,0.373188589,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.017779701,0.355408888
1,-3.95000028,-73.4399997,2008,4,100,298.5800476,0.38345331,0.37275573,0.006737719,4.11008027778646e-06,0.044422796,-0.00307773,4.74608378373528e-06,0.072116281,16709675.04,2.8774E+12,0.310223162,0.376198375,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.015134644,0.36106373
1,-3.95000028,-73.4399997,2009,4,100,298.512502,0.404847652,0.348286627,0.006988637,4.71576503442546e-06,0.114749875,-0.003362924,5.35252271451611e-06,0.125936883,16531448.92,2.92097E+12,0.279043509,0.369864961,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.010079178,0.359785783
1,-3.95000028,-73.4399997,2010,4,100,298.608963,0.472286263,0.350722692,0.007018325,5.22071204759902e-06,0.143326156,-0.003399532,5.95964057646444e-06,0.137912468,16501079.44,3.13969E+12,0.226534804,0.322228447,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.016239452,0.305988995
1,-3.95000028,-73.4399997,2011,4,100,298.5707753,0.397837939,0.416518892,0.007225297,5.35553496131649e-06,0.186433298,-0.003617755,6.2500161582743e-06,0.178798546,16350993.69,3.37303E+12,0.249046596,0.286740977,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,-0.000301352,0.28704233
1,-3.95000028,-73.4399997,2012,4,100,298.5744832,0.378899412,0.482407606,0.007333638,6.50505079872691e-06,0.181179119,-0.0037227,7.54546770108655e-06,0.180317561,16319948.42,3.26332E+12,0.302677489,0.270227358,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.002402696,0.267824663
1,-3.95000028,-73.4399997,2013,4,100,298.5632579,0.379956771,0.576204794,0.007272551,5.70852740601068e-06,0.1593771,-0.003652199,6.68022546260562e-06,0.171219782,16339891.71,3.24277E+12,0.35538258,0.206086631,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,-0.004809369,0.210896
1,-3.95000028,-73.4399997,2014,4,100,298.4231618,0.27666454,0.595557759,0.007472803,5.04823294621981e-06,0.11232555,-0.003895549,6.0068909534838e-06,0.137665582,16099704.17,3.00912E+12,0.381978535,0.067546124,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,-0.001631493,0.069177617
1,-3.95000028,-73.4399997,2015,4,100,298.4948425,0.387786453,0.518779388,0.007587303,5.44798510988842e-06,0.048063822,-0.00402061,6.83559194828698e-06,0.074754257,16048925.38,3.56024E+12,0.282811313,-0.041607264,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.001090279,-0.042697544
1,-3.95000028,-73.4399997,2016,4,100,298.634201,0.501228876,0.462936145,0.007621094,4.99135982690844e-06,0.014594795,-0.00405131,6.34104944453023e-06,0.042401445,16003624.42,3.85529E+12,0.204588587,-0.103253296,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,0.046136377,-0.149389674
1,-3.95000028,-73.4399997,2017,4,100,298.7364909,0.448124681,0.389475634,0.007586836,6.45479316848248e-06,0.013331048,-0.003997854,7.87949117858701e-06,0.032057516,16076976.42,3.52348E+12,0.155705958,-0.087753242,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,-0.004658199,-0.083095043
1,-3.95000028,-73.4399997,2018,4,100,298.7610219,0.488777128,0.349831421,0.007574434,6.86589599452242e-06,0.052565548,-0.003970157,8.37853818265286e-06,0.063667665,16101749.69,3.78118E+12,0.141247509,0.042350422,-27106.92188,0.044443127,235.6710968,-143.9780273,-140.0601807,-41.35131073,15.88651371,0,-0.011383702,0.053734124
