sampleID,sampleLat,sampleLon,year,window_years,fc,t2m_mean,t2m_var,t2m_ac,tp_mean,tp_var,tp_ac,def_mean,def_var,def_ac,ssrd_mean,ssrd_var,ssrd_ac,TAC_NIRv_bimonthly_24,Coef1,Coef2,Coef3,Coef4,Coef5,Coef6,Coef7,Coef8,diff,eTAC
1,-3.95000028,-73.4399997,2000,4,100,297.9804484,0.52765047,NaN,0.007729567,2.73E-06,NaN,-0.004177573,3.24E-06,NaN,16014856.33,4.31517E+12,NaN,NaN,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,NaN,NaN
1,-3.95000028,-73.4399997,2001,4,100,298.0622762,0.545425446,NaN,0.007466685,3.54E-06,NaN,-0.003904698,4.01E-06,NaN,16163969.79,3.80533E+12,NaN,NaN,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,NaN,NaN
1,-3.95000028,-73.4399997,2002,4,100,298.1857368,0.498645752,NaN,0.007291485,3.66E-06,NaN,-0.003732481,4.23E-06,NaN,16203141.03,3.62234E+12,NaN,NaN,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,NaN,NaN
1,-3.95000028,-73.4399997,2003,4,100,298.2323863,0.495514601,NaN,0.007210127,3.63E-06,NaN,-0.00365398,4.23E-06,NaN,16194875.42,3.50158E+12,NaN,NaN,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,NaN,NaN
1,-3.95000028,-73.4399997,2004,4,100,298.361084,0.560660682,0.427722264,0.006863207,3.41E-06,-0.078040163,-0.003294499,4.06E-06,-0.007956569,16301111.02,3.42285E+12,0.387603358,0.288706508,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,0,0.288706508
1,-3.95000028,-73.4399997,2005,4,100,298.5168813,0.489408516,0.41934647,0.006722676,3.28E-06,-0.082865139,-0.003122975,4.11E-06,-0.022585556,16416838.96,3.46182E+12,0.341884045,0.25404133,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,0.00727703,0.2467643
1,-3.95000028,-73.4399997,2006,4,100,298.557958,0.478677138,0.413041517,0.006616052,3.18E-06,-0.031182933,-0.002975517,3.89E-06,0.024699007,16557105.33,3.2263E+12,0.354563669,0.25404133,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,0.009792634,0.244248696
1,-3.95000028,-73.4399997,2007,4,100,298.6074219,0.493434264,0.38673474,0.0065257,3.77E-06,-0.01128323,-0.002866749,4.42E-06,0.035533126,16697277.31,3.14427E+12,0.349543893,0.260835726,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,0.019370804,0.241464922
1,-3.95000028,-73.4399997,2008,4,100,298.5800476,0.38345331,0.37275573,0.006737719,4.11E-06,0.044422796,-0.00307773,4.75E-06,0.072116281,16709675.04,2.8774E+12,0.310223162,0.225649489,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,0.018996119,0.20665337
1,-3.95000028,-73.4399997,2009,4,100,298.512502,0.404847652,0.348286627,0.006988637,4.72E-06,0.114749875,-0.003362924,5.35E-06,0.125936883,16531448.92,2.92097E+12,0.279043509,0.231795264,-15724.10645,0.024787659,118.6126251,-73.4757843,-71.55355072,-29.31344986,0,0,-0.008431894,0.240227158
