ID,pointID,Site,rank,ForestType,FullName,LongitudeDecimal,LatitudeDecimal,SampleYear,SampleMonth,ContryName,PlatArea (ha),p50,p88,HSM_p50,HSM_p88,Psi_min,P_tlp,p50_SamplePeriod,Psi_min_SamplePeriod,source,MCWD,hydraulic traits sampled or compiled?,original source,species,doi,Note
6,27,TAM,1,Inter DSL,,-69.29968769,-12.7999929,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
6,28,TAM,1,Inter DSL,,-69.29999462,-12.79970577,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
6,29,TAM,1,Inter DSL,,-69.29998905,-12.80028127,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
6,30,TAM,1,Inter DSL,,-69.30035648,-12.79999507,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
7,31,NVX,2,Long DSL,,-52.16799773,-14.83300007,2016,8,BRAZIL,0.6,-2.95,-4.1,-1,0.15,-3.95,,17-Mar,"Aug-2016, Aug/Sep-2017",Tavares_et_al_2023,-643.3014819,compiled,Jancoski et al. (unplublished) ,,,https://onlinelibrary.wiley.com/doi/10.1111/btp.13064
7,32,NVX,2,Long DSL,,-52.16778299,-14.83300474,2016,8,BRAZIL,0.6,-2.95,-4.1,-1,0.15,-3.95,,17-Mar,"Aug-2016, Aug/Sep-2017",Tavares_et_al_2023,-643.3014819,compiled,Jancoski et al. (unplublished) ,,,https://onlinelibrary.wiley.com/doi/10.1111/btp.13064
7,33,NVX,2,Long DSL,,-52.16799773,-14.83281335,2016,8,BRAZIL,0.6,-2.95,-4.1,-1,0.15,-3.95,,17-Mar,"Aug-2016, Aug/Sep-2017",Tavares_et_al_2023,-643.3014819,compiled,Jancoski et al. (unplublished) ,,,https://onlinelibrary.wiley.com/doi/10.1111/btp.13064
7,34,NVX,2,Long DSL,,-52.16799306,-14.83322881,2016,8,BRAZIL,0.6,-2.95,-4.1,-1,0.15,-3.95,,17-Mar,"Aug-2016, Aug/Sep-2017",Tavares_et_al_2023,-643.3014819,compiled,Jancoski et al. (unplublished) ,,,https://onlinelibrary.wiley.com/doi/10.1111/btp.13064
7,35,NVX,2,Long DSL,,-52.16824048,-14.83300474,2016,8,BRAZIL,0.6,-2.95,-4.1,-1,0.15,-3.95,,17-Mar,"Aug-2016, Aug/Sep-2017",Tavares_et_al_2023,-643.3014819,compiled,Jancoski et al. (unplublished) ,,,https://onlinelibrary.wiley.com/doi/10.1111/btp.13064
8,36,SUC,1,Aseasonal,,-72.89999976,-3.29999504,2017,11,PERU,1,-1.29,-2.09,0.32,1.13,-0.97,,17-Nov,17-Nov,Tavares_et_al_2023,-15.08827426,sampled,,,,
8,37,SUC,1,Aseasonal,,-72.89968466,-3.29999504,2017,11,PERU,1,-1.29,-2.09,0.32,1.13,-0.97,,17-Nov,17-Nov,Tavares_et_al_2023,-15.08827426,sampled,,,,
8,38,SUC,1,Aseasonal,,-72.89999713,-3.2997272,2017,11,PERU,1,-1.29,-2.09,0.32,1.13,-0.97,,17-Nov,17-Nov,Tavares_et_al_2023,-15.08827426,sampled,,,,
8,39,SUC,1,Aseasonal,,-72.8999909,-3.30025976,2017,11,PERU,1,-1.29,-2.09,0.32,1.13,-0.97,,17-Nov,17-Nov,Tavares_et_al_2023,-15.08827426,sampled,,,,
8,40,SUC,1,Aseasonal,,-72.90032733,-3.29999717,2017,11,PERU,1,-1.29,-2.09,0.32,1.13,-0.97,,17-Nov,17-Nov,Tavares_et_al_2023,-15.08827426,sampled,,,,
9,41,KEN1,2,Long DSL,,-62.72999797,-16.0199992,2017,8,BOLIVIA,1,-2.44,-3.86,0.34,1.76,-2.1,,17-Mar,"Aug/Sep-2017, July-2018",Tavares_et_al_2023,-472.4509994,sampled,,,,
9,42,KEN1,2,Long DSL,,-62.72965871,-16.02000151,2017,8,BOLIVIA,1,-2.44,-3.86,0.34,1.76,-2.1,,17-Mar,"Aug/Sep-2017, July-2018",Tavares_et_al_2023,-472.4509994,sampled,,,,
9,43,KEN1,2,Long DSL,,-62.72999797,-16.01974534,2017,8,BOLIVIA,1,-2.44,-3.86,0.34,1.76,-2.1,,17-Mar,"Aug/Sep-2017, July-2018",Tavares_et_al_2023,-472.4509994,sampled,,,,
9,44,KEN1,2,Long DSL,,-62.72998037,-16.02024788,2017,8,BOLIVIA,1,-2.44,-3.86,0.34,1.76,-2.1,,17-Mar,"Aug/Sep-2017, July-2018",Tavares_et_al_2023,-472.4509994,sampled,,,,
9,45,KEN1,2,Long DSL,,-62.73030131,-16.02002069,2017,8,BOLIVIA,1,-2.44,-3.86,0.34,1.76,-2.1,,17-Mar,"Aug/Sep-2017, July-2018",Tavares_et_al_2023,-472.4509994,sampled,,,,
