sampleID,sampleLat,sampleLon,t2m_ave,t2m_var,t2m_ac,tp_ave,tp_var,tp_ac,def_ave,def_var,def_ac,ssrd_ave,ssrd_var,ssrd_ac,fc
1,-1.8,-69.8,298.259237467448,0.530497180776984,0.474885391080227,0.00874747594624447,8.55007034728808e-06,0.194833623916232,0.0122347982953458,9.30742979570459e-06,0.215101066859902,15372614.475,9434023554306.06,0.278864527019644,100
3,-18,-51.8,296.539842936198,2.73316835029402,0.154691759146648,0.00373871185282989,1.20041288168629e-05,0.0598442428053515,0.00659299570067598,2.04161798198191e-05,0.153561634223305,18371770.5333333,12397486127937.3,0.137088540168949,0
4,-16.3,-61.4,297.151027832031,3.29324214182769,0.15949445897727,0.00313055723320758,6.25637562040873e-06,0.109012535610315,0.00604058729831195,1.28798211975749e-05,0.226812094418462,17306146.8516667,12937351662346.6,0.189174822485959,81
5,-6.5,-54.8,299.058801269531,2.235938720131,0.410674182781118,0.0057268534165299,1.97380061030263e-05,0.0767057357007185,0.00895230003469199,2.28189449212387e-05,0.14712934854117,16969475.3533333,11695606077021,0.199539564579391,100
6,-6.6,-69.5,298.762173665365,0.676323493865953,0.469461140206567,0.00630714183896392,1.144639939353e-05,0.254390406915151,0.00999239188376426,1.26203272747616e-05,0.281646824156453,16232541.1383333,10043798747391.4,0.307133988267726,100
10,-18.9,-46.7,294.588898925781,3.34026263269094,0.13502010453235,0.00375924169981412,1.4578513975155e-05,-0.0712534645029915,0.00635829206209811,2.15744262625301e-05,-0.00930519950615651,18196487.5433333,13614797923371,0.125929392250216,51
13,-10.5,-67.7,298.407069498698,1.1119920017003,0.344939279364446,0.0051483795216033,1.29758727028644e-05,0.170673582087056,0.00843382099783412,1.70950107088003e-05,0.225728855948724,16924090.9883333,10415185197471,0.261926435723142,0
17,-3.2,-54.7,298.968182779948,1.60963261479053,0.534315822000038,0.00627249236461163,2.0994144147609e-05,0.255954936690119,0.00956214594121169,2.15859498226598e-05,0.319787665362053,16470575.035,13729316829304.5,0.351737675128894,100
19,-15,-63.9,298.017355957031,2.49288182006831,0.15362391582629,0.00492369497634475,1.3414150463641e-05,0.135860615436068,0.00846015186178192,1.88325865478207e-05,0.207405645403948,16943346.8416667,11318063591023.4,0.233619650621673,51
23,-13.6,-65.2,299.048241373698,1.81336182937906,0.186817792563158,0.0049403947216039,1.55042175243824e-05,0.132523170852999,0.00865483849898131,2.02304961540255e-05,0.163124243953398,17308417.7216667,11235381733875.8,0.200846681532895,0
24,-15.2,-63.7,297.958866373698,2.58472555315946,0.132044356681652,0.00462773177445949,1.1988038103223e-05,0.144637670215904,0.00813996019912035,1.77339228020886e-05,0.224051457886699,16955186.8416667,11466489319339.9,0.233853144286126,97
26,-2.5,-72.6,298.418345540365,0.559295887220796,0.388739423847972,0.0075959753493468,6.47094268025811e-06,0.127171077073961,0.0111383615992963,7.35493266489662e-06,0.146000667406498,15592315.4416667,9803969684004.83,0.267481485764914,100
